Time,Duration,Path,Cost
0,0,[6, 5, 11, 8],4
1,0,[9, 4],2
4,0,[1, 7, 5],3
2,0,[14, 13, 10],2
5,0,[2, 14, 13, 8],4
6,0,[6, 7, 1],2
3,0,[7, 2],1
